id,titulo_higienizado,descricao_higienizada,texto_final_higienizado,categoria,prioridade
5883,computador sem conectividade a rede,apos instalar uma atualizacao recentemente o computador nao consegue se conectar a qualquer redes wi fi ou por cabos ethernet estou tentando configura lo para reconhecer a internet,computador sem conectividade a rede apos instalar uma atualizacao recentemente o computador nao consegue se conectar a qualquer redes wi fi ou por cabos ethernet estou tentando configura lo para reconhecer a internet,Hardware,Media
5884,rede de trabalho instavel,a conexao da rede no escritorio do cliente fica lenta durante o dia causando atrasos na comunicacao em videoconferencias e problemas com acesso ao banco de dados,rede de trabalho instavel a conexao da rede no escritorio do cliente fica lenta durante o dia causando atrasos na comunicacao em videoconferencias e problemas com acesso ao banco de dados,Rede,Media
5885,dificuldade na insercao de dados,estamos enfrentando problemas ao tentar carregar uma grande quantidade de dados no banco o que esta causando atrasos e interrupcoes nos processos comerciais,dificuldade na insercao de dados estamos enfrentando problemas ao tentar carregar uma grande quantidade de dados no banco o que esta causando atrasos e interrupcoes nos processos comerciais,Banco de Dados,Alta
5886,relacao de dados lento,os computadores estao se conectando a rede mas os downloads e uploads sao mais lentos do que o normal o problema pode estar relacionado ao uso exagerado da banda ou problemas com a centralidade,relacao de dados lento os computadores estao se conectando a rede mas os downloads e uploads sao mais lentos do que o normal o problema pode estar relacionado ao uso exagerado da banda ou problemas com a centralidade,Rede,Baixa
5887,login falhado,funcionario relata ter problemas ao tentar acessar o sistema no ultimo dia de semana apos entrar corretamente estava esperando para ser autenticado por meio da recuperacao do e mail entretanto nao recebeu nenhum aviso ou resposta,login falhado funcionario relata ter problemas ao tentar acessar o sistema no ultimo dia de semana apos entrar corretamente estava esperando para ser autenticado por meio da recuperacao do e mail entretanto nao recebeu nenhum aviso ou resposta,Acesso,Baixa
5888,laptop desligando frequentemente,meu laptops esta intermitentemente apagando sem aviso isso comecou recentemente e e um problema recorrente que impede o uso regular,laptop desligando frequentemente meu laptops esta intermitentemente apagando sem aviso isso comecou recentemente e e um problema recorrente que impede o uso regular,Hardware,Media
5889,sistema de pagamento atualizado,um cliente relata que notou diferencas no formato do codigo de barras mas a operacao foi concluida corretamente requer esclarecimentos sobre os novos codigos,sistema de pagamento atualizado um cliente relata que notou diferencas no formato do codigo de barras mas a operacao foi concluida corretamente requer esclarecimentos sobre os novos codigos,Acesso,Baixa
5890,tela cinza apos reinicializacao,apos o sistema iniciar as telas estao exibindo apenas tons de cinza ajustes na configuracao grafica nao resolveram o problema,tela cinza apos reinicializacao apos o sistema iniciar as telas estao exibindo apenas tons de cinza ajustes na configuracao grafica nao resolveram o problema,Hardware,Baixa
5891,problemas de conexao wifi,funcionario relata dificuldades intermitentes na rede wifi que afetam a capacidade de trabalhar remotamente,problemas de conexao wifi funcionario relata dificuldades intermitentes na rede wifi que afetam a capacidade de trabalhar remotamente,Acesso,Baixa
5892,computador sem bateria,o computador nao liga mesmo que esteja conectado a fonte de energia acredito ser um problema relacionado ao cabo ou a uma falha na porta da tomada,computador sem bateria o computador nao liga mesmo que esteja conectado a fonte de energia acredito ser um problema relacionado ao cabo ou a uma falha na porta da tomada,Hardware,Baixa
5893,ajuste da tela do laptop,o display de minha notebook esta centralizado incorretamente acredito que tenho o botao auto posicionamento ativado e gostaria de corrigir isso para uma posicao mais confortavel,ajuste da tela do laptop o display de minha notebook esta centralizado incorretamente acredito que tenho o botao auto posicionamento ativado e gostaria de corrigir isso para uma posicao mais confortavel,Hardware,Baixa
5894,problema de conectividade wi fi,eu tive problemas intermitentes ao se conectar a internet via wi fi ocorre frequentemente quando uso o navegador ou aplicativos da nuvem,problema de conectividade wi fi eu tive problemas intermitentes ao se conectar a internet via wi fi ocorre frequentemente quando uso o navegador ou aplicativos da nuvem,Hardware,Media
5895,sistema de energia lento,a instalacao central da energia eletrica do predio esta apresentando lentidao na distribuicao das baterias recarregadas causando uma interrupcao minima e apenas durante o pico de uso,sistema de energia lento a instalacao central da energia eletrica do predio esta apresentando lentidao na distribuicao das baterias recarregadas causando uma interrupcao minima e apenas durante o pico de uso,Infraestrutura,Baixa
5896,assistencia na edicao do blog,preciso de ajuda para corrigir alguns erros gramaticais no texto e garantir que o layout seja responsivo,assistencia na edicao do blog preciso de ajuda para corrigir alguns erros gramaticais no texto e garantir que o layout seja responsivo,Comunicação,Baixa
5897,problemas ao atualizar aplicativo,acontece de o app nao atualizar apos verificar as notificacoes tentei reiniciar e conectando via wi fi mas sem sucesso,problemas ao atualizar aplicativo acontece de o app nao atualizar apos verificar as notificacoes tentei reiniciar e conectando via wi fi mas sem sucesso,Comunicação,Baixa
5898,computador silencioso,estou usando meu computador ha algumas semanas mas recentemente ele parou de fazer barulho semelhante a quando esta ligado com energia ou desligado,computador silencioso estou usando meu computador ha algumas semanas mas recentemente ele parou de fazer barulho semelhante a quando esta ligado com energia ou desligado,Hardware,Baixa
5899,som sem audio,o computador apresenta som mas o volume parece baixo e nao ha nenhum ruido nao consegui ajustar os controles do volume,som sem audio o computador apresenta som mas o volume parece baixo e nao ha nenhum ruido nao consegui ajustar os controles do volume,Hardware,Media
5900,acesso limitado ao departamento interno,estou tentando usar o sistema de documentos do nosso departamento mas recebi uma mensagem dizendo que preciso verificar minha conta o problema e recorrente e esta prejudicando a colaboracao,acesso limitado ao departamento interno estou tentando usar o sistema de documentos do nosso departamento mas recebi uma mensagem dizendo que preciso verificar minha conta o problema e recorrente e esta prejudicando a colaboracao,Comunicação,Baixa
5901,lente semelhante,procurando por uma lente de zoom equivalente a xyz mas um pouco mais barata,lente semelhante procurando por uma lente de zoom equivalente a xyz mas um pouco mais barata,Hardware,Media
5902,luz led fraca,a luz de entrada esta mais brilhante do que o normal mas nao consegui ver claramente a tela da tv ajustei as configuracoes e agora parece estar normal,luz led fraca a luz de entrada esta mais brilhante do que o normal mas nao consegui ver claramente a tela da tv ajustei as configuracoes e agora parece estar normal,Hardware,Baixa
5903,sistema lento,o erp da empresa esta respondendo muito devagar levando minutos para abrir uma tela,sistema lento o erp da empresa esta respondendo muito devagar levando minutos para abrir uma tela,Infraestrutura,Baixa
5904,perfilcao da placa grafica,nao ha imagem no monitor aperte o botao power e pressione fn f4 para acessar as configuracoes de perfil na tela,perfilcao da placa grafica nao ha imagem no monitor aperte o botao power e pressione fn f4 para acessar as configuracoes de perfil na tela,Hardware,Media
5905,problemas de conectividade,usuario relata falhas constantes na rede interna o que impede tarefas criticas e afeta a produtividade da equipe,problemas de conectividade usuario relata falhas constantes na rede interna o que impede tarefas criticas e afeta a produtividade da equipe,Acesso,Alta
5906,problemas de conexao wifi,funcionario relata dificuldade na manutencao da conectividade sem fio apesar do reajuste dos ajustes e verificacoes das configuracoes,problemas de conexao wifi funcionario relata dificuldade na manutencao da conectividade sem fio apesar do reajuste dos ajustes e verificacoes das configuracoes,Acesso,Baixa
5907,problemas intermitentes de conexao wi fi,descricao do problema detalhada e sugestoes passadas,problemas intermitentes de conexao wi fi descricao do problema detalhada e sugestoes passadas,Rede,Baixa
5908,suspeita engenheiro da empresa,o sistema de comunicacao interna apresentou falhas intermitentes causando atrasos nos relatorios das equipes o engenheiro avalia o impacto potencial na seguranca e produtividade,suspeita engenheiro da empresa o sistema de comunicacao interna apresentou falhas intermitentes causando atrasos nos relatorios das equipes o engenheiro avalia o impacto potencial na seguranca e produtividade,Comunicação,Media
5909,problemas na impressao da documentacao,ocorreu uma falha no processamento de paginacao durante o envio dos arquivos para a imprensa ajustes necessarios,problemas na impressao da documentacao ocorreu uma falha no processamento de paginacao durante o envio dos arquivos para a imprensa ajustes necessarios,Comunicação,Baixa
5910,reparacao de monitor,um usuario relatou que seu monitor nao esta funcionando e precisa ser reinstalado mas e descoberto que o mesmo ja foi removido,reparacao de monitor um usuario relatou que seu monitor nao esta funcionando e precisa ser reinstalado mas e descoberto que o mesmo ja foi removido,Acesso,Baixa
5911,luz do computador fraca,a lampada de exibicao esta mais branca que o papel mas o sistema funciona normalmente procuro suporte para manutencao,luz do computador fraca a lampada de exibicao esta mais branca que o papel mas o sistema funciona normalmente procuro suporte para manutencao,Hardware,Baixa
5912,computador intermitente,estou tendo problemas recorrentes com meu computador as vezes ele liga normalmente mas outras horas nao responde ao clique do mouse e os icones se movem lentamente,computador intermitente estou tendo problemas recorrentes com meu computador as vezes ele liga normalmente mas outras horas nao responde ao clique do mouse e os icones se movem lentamente,Hardware,Media
5913,laptop tela esta desligada,a luz de alimentacao do laptop e visivel e o computador liga normalmente mas nao ha entrada na tela tentei reinicia lo varias vezes,laptop tela esta desligada a luz de alimentacao do laptop e visivel e o computador liga normalmente mas nao ha entrada na tela tentei reinicia lo varias vezes,Hardware,Baixa
5914,tipo desconhecido no sistema,quando tento inserir dados de contato o campo estado civil nao aparece na lista predefinida e estou ficando sem opcoes,tipo desconhecido no sistema quando tento inserir dados de contato o campo estado civil nao aparece na lista predefinida e estou ficando sem opcoes,Comunicação,Baixa
5915,acesso restrito,um funcionario nao consegue fazer login no sistema da empresa e precisa de ajuda tecnica imediata,acesso restrito um funcionario nao consegue fazer login no sistema da empresa e precisa de ajuda tecnica imediata,Acesso,Media
5916,ruido estranho no dispositivo portatil,ocorre barulho irregular durante uso possivelmente indicando problemas de hardware internos conseguiria confirmar se o problema persiste em diferentes cargas e sob condicoes controladas,ruido estranho no dispositivo portatil ocorre barulho irregular durante uso possivelmente indicando problemas de hardware internos conseguiria confirmar se o problema persiste em diferentes cargas e sob condicoes controladas,Hardware,Media
5917,som estranho,o som do computador e diferente ha ruido de barulho no topo da tela,som estranho o som do computador e diferente ha ruido de barulho no topo da tela,Hardware,Baixa
5918,inicio de sessao do usuario,o cliente precisa assistencia para iniciar o software que utiliza autenticacao baseada em nome mas insere a senha errada,inicio de sessao do usuario o cliente precisa assistencia para iniciar o software que utiliza autenticacao baseada em nome mas insere a senha errada,Acesso,Baixa
5919,garfo usb nao reconhecido,inicialmente todos os meus dispositivos estavam funcionando corretamente porem recentemente percebi que o garfo usb esta inutilizado no laptop,garfo usb nao reconhecido inicialmente todos os meus dispositivos estavam funcionando corretamente porem recentemente percebi que o garfo usb esta inutilizado no laptop,Hardware,Baixa
5920,lampada led queimou,a lampada no teto do quarto parou de funcionar nao ha nenhum outro problema notavel mas gostaria de substitui la por uma nova,lampada led queimou a lampada no teto do quarto parou de funcionar nao ha nenhum outro problema notavel mas gostaria de substitui la por uma nova,Hardware,Media
5921,problemas moveis no aplicativo,estou usando o app xyz e ocasionalmente meus dados nao carregam corretamente gostaria de saber se ha uma solucao temporaria ate a proxima atualizacao,problemas moveis no aplicativo estou usando o app xyz e ocasionalmente meus dados nao carregam corretamente gostaria de saber se ha uma solucao temporaria ate a proxima atualizacao,Comunicação,Baixa
5922,tela amarela no navegador,ha uma tela branca e somente o icone da barra de enderecos aparece quando abro meu navegador,tela amarela no navegador ha uma tela branca e somente o icone da barra de enderecos aparece quando abro meu navegador,Comunicação,Baixa
5923,luz led da tela desapareceu,o computador estava funcionando normalmente ate agora iniciou um trabalho e sem motivo aparente a luz dele comecou a fadar,luz led da tela desapareceu o computador estava funcionando normalmente ate agora iniciou um trabalho e sem motivo aparente a luz dele comecou a fadar,Hardware,Baixa
5924,dificuldade ao inserir dados,estou tentando adicionar novos registros no banco mas o sistema esta bloqueado e nao aceita a entrada,dificuldade ao inserir dados estou tentando adicionar novos registros no banco mas o sistema esta bloqueado e nao aceita a entrada,Banco de Dados,Baixa
5925,suspeita de violacao,um funcionario relata que observou comportamento suspeito no sistema como alteracoes incomuns e acessos nao autorizados no entanto eles nao conseguiram identificar quem estava envolvido,suspeita de violacao um funcionario relata que observou comportamento suspeito no sistema como alteracoes incomuns e acessos nao autorizados no entanto eles nao conseguiram identificar quem estava envolvido,Acesso,Baixa
5926,ruido no gabinete,ha ruido constante e desagradavel vindo do meio da placa mae ao ligar a maquina nao parece ter impacto na funcionalidade apenas esta causando irritacao,ruido no gabinete ha ruido constante e desagradavel vindo do meio da placa mae ao ligar a maquina nao parece ter impacto na funcionalidade apenas esta causando irritacao,Hardware,Baixa
5927,incapacidade de alterar endereco,usuario deseja mudar o seu enderecamento mas nao consegue acessar as ferramentas necessarias devido a um erro na interface,incapacidade de alterar endereco usuario deseja mudar o seu enderecamento mas nao consegue acessar as ferramentas necessarias devido a um erro na interface,Acesso,Baixa
5928,mudancas intermitentes de dns,ocorre uma frequencia irregular na alteracao dos servidores do dns resultando em conexoes lentas e problemas ao acessar sites,mudancas intermitentes de dns ocorre uma frequencia irregular na alteracao dos servidores do dns resultando em conexoes lentas e problemas ao acessar sites,Rede,Baixa
5929,som estranho do computador,estou ouvindo ruidos irregulares provenientes da placa de som durante o uso normal o sistema ainda funciona mas a qualidade sonora esta comprometida,som estranho do computador estou ouvindo ruidos irregulares provenientes da placa de som durante o uso normal o sistema ainda funciona mas a qualidade sonora esta comprometida,Hardware,Baixa
5930,suspeita de violacao do sistema,o funcionario relata que encontrou uma atividade suspeita no banco de dados mas nao ha alteracoes visiveis avalia a possibilidade de um problema interno,suspeita de violacao do sistema o funcionario relata que encontrou uma atividade suspeita no banco de dados mas nao ha alteracoes visiveis avalia a possibilidade de um problema interno,Acesso,Baixa
5931,roteador sem energia,o roteador esta funcionando mas nao obtem nenhuma energia teste o plugue e verifique a fiacao,roteador sem energia o roteador esta funcionando mas nao obtem nenhuma energia teste o plugue e verifique a fiacao,Rede,Baixa
5932,perfil de usuario nao salvo,quando crio uma nova conta o perfil pessoal do usuario nem sempre e armazenado corretamente isso torna dificil acessar e modificar informacoes posteriormente,perfil de usuario nao salvo quando crio uma nova conta o perfil pessoal do usuario nem sempre e armazenado corretamente isso torna dificil acessar e modificar informacoes posteriormente,Rede,Baixa
5933,som ausente no computador,o som que deveria ser reproduzido pelo meu laptop quando o windows iniciar e inexplicavelmente silencioso nao houve alteracoes recentes e a fonte esta funcionando corretamente em outros dispositivos,som ausente no computador o som que deveria ser reproduzido pelo meu laptop quando o windows iniciar e inexplicavelmente silencioso nao houve alteracoes recentes e a fonte esta funcionando corretamente em outros dispositivos,Hardware,Media
5934,galera estou sem conexao,nosso tecnico de rede esta experimentando problemas intermitentes de internet em seu escritorio ele acompanha os logs para identificar possiveis causas e garantir estabilidade,galera estou sem conexao nosso tecnico de rede esta experimentando problemas intermitentes de internet em seu escritorio ele acompanha os logs para identificar possiveis causas e garantir estabilidade,Acesso,Baixa
5935,problemas de autenticacao,apos realizar o processamento do pedido foi constatada uma falha no login da equipe uma tentativa inicial de recuperacao das credenciais via e mail nao mostrou resultado,problemas de autenticacao apos realizar o processamento do pedido foi constatada uma falha no login da equipe uma tentativa inicial de recuperacao das credenciais via e mail nao mostrou resultado,Acesso,Baixa
5936,solucao de sistema,funcionario relata que o sistema automatico nao esta atualizando os registros mas ainda precisa resolver para continuar seu trabalho,solucao de sistema funcionario relata que o sistema automatico nao esta atualizando os registros mas ainda precisa resolver para continuar seu trabalho,Acesso,Baixa
5937,problemas no envio e recebimento do e mail,experimentei problemas intermitentes ao enviar mensagens por email alguns destinatarios nao conseguem acessar as respectivas anexos,problemas no envio e recebimento do e mail experimentei problemas intermitentes ao enviar mensagens por email alguns destinatarios nao conseguem acessar as respectivas anexos,Comunicação,Baixa
5938,baixo volume da pc,o volume do meu computador esta extremamente baixo e nao consigo ouvir as mensagens de som tentei mudar o nivel no controlador mas ainda assim e muito silencioso,baixo volume da pc o volume do meu computador esta extremamente baixo e nao consigo ouvir as mensagens de som tentei mudar o nivel no controlador mas ainda assim e muito silencioso,Hardware,Baixa
5939,motorola moto g nao responde aos comandos,meu dispositivo motorola moto g apresenta algumas dificuldades a interface e lenta e ocasionalmente o telefone toma muito tempo para responder a chamadas ou enviar mensagens,motorola moto g nao responde aos comandos meu dispositivo motorola moto g apresenta algumas dificuldades a interface e lenta e ocasionalmente o telefone toma muito tempo para responder a chamadas ou enviar mensagens,Hardware,Baixa
5940,incompatibilidade entre aplicativos,o sistema operacional nao reconhece o driver do meu scanner apos instala lo recebo um erro de compatibilidade,incompatibilidade entre aplicativos o sistema operacional nao reconhece o driver do meu scanner apos instala lo recebo um erro de compatibilidade,Comunicação,Media
5941,problemas de conexao intermitente,estive tendo problemas recorrentes durante o trabalho a internet fica instavel e desconecta periodicamente especialmente ao usar varias aplicacoes no mesmo momento,problemas de conexao intermitente estive tendo problemas recorrentes durante o trabalho a internet fica instavel e desconecta periodicamente especialmente ao usar varias aplicacoes no mesmo momento,Rede,Baixa
5942,som ausente,ha uma falta de som no computador ajustei as configuracoes do alto falante mas nada mudou,som ausente ha uma falta de som no computador ajustei as configuracoes do alto falante mas nada mudou,Hardware,Baixa
5943,computador desligando spontaneamente,meu computador comeca normalmente mas de repente fecha por conta propria isso acontece algumas vezes a cada dia,computador desligando spontaneamente meu computador comeca normalmente mas de repente fecha por conta propria isso acontece algumas vezes a cada dia,Hardware,Alta
5944,problema no e mail,recebi uma mensagem de erro quando tento enviar o meu relatorio final aparentemente a mensagem nao e formatada corretamente,problema no e mail recebi uma mensagem de erro quando tento enviar o meu relatorio final aparentemente a mensagem nao e formatada corretamente,Comunicação,Baixa
5945,ajuste de velocidades,precisamos ajustar as configuracoes da rede interna esperamos uma melhoria na performance,ajuste de velocidades precisamos ajustar as configuracoes da rede interna esperamos uma melhoria na performance,Infraestrutura,Baixa
5946,problema na troca do plano,quando alterei o meu contrato de planos ainda nao recebi as informacoes detalhadas sobre os novos termos,problema na troca do plano quando alterei o meu contrato de planos ainda nao recebi as informacoes detalhadas sobre os novos termos,Comunicação,Media
5947,computador esta lento,o computador tem uma taxa de processamento abaixo do normal muitas aplicacoes estao demorando para carregar e o desempenho geral e prejudicado desde a ultima atualizacao,computador esta lento o computador tem uma taxa de processamento abaixo do normal muitas aplicacoes estao demorando para carregar e o desempenho geral e prejudicado desde a ultima atualizacao,Hardware,Baixa
5948,ruido nas linhas,voce esta percebendo ruidos alto e continuos sobre as linhas de telefonia corporativa causando interrupcoes na comunicacao,ruido nas linhas voce esta percebendo ruidos alto e continuos sobre as linhas de telefonia corporativa causando interrupcoes na comunicacao,Infraestrutura,Baixa
5949,tentativa de login falha,funcionario tentou fazer o logon e recebeu erro mas nao se lembra do motivo precisa confirmar a senha ou realizar outra recuperacao,tentativa de login falha funcionario tentou fazer o logon e recebeu erro mas nao se lembra do motivo precisa confirmar a senha ou realizar outra recuperacao,Acesso,Baixa
5950,computador sem som,o computador esta funcionando mas nao ha nenhum som quando o sistema operacional e iniciado isso impede a entrada de dados por meio da tela em texto,computador sem som o computador esta funcionando mas nao ha nenhum som quando o sistema operacional e iniciado isso impede a entrada de dados por meio da tela em texto,Hardware,Alta
5951,sistema de reserva online,a pagina do sistema que permite fazer as reservas e muito lenta e as vezes nao carrega totalmente isso acontece especialmente durante a manha,sistema de reserva online a pagina do sistema que permite fazer as reservas e muito lenta e as vezes nao carrega totalmente isso acontece especialmente durante a manha,Infraestrutura,Baixa
5952,lancamento de disco rigido,o meu computador esta funcionando normalmente mas o disco rigido nao e detectado automaticamente ao inicializar preciso inserir manualmente a unidade para que o sistema operacional inicie,lancamento de disco rigido o meu computador esta funcionando normalmente mas o disco rigido nao e detectado automaticamente ao inicializar preciso inserir manualmente a unidade para que o sistema operacional inicie,Hardware,Baixa
5953,conexao wi fi fraca,a rede wi fi esta muito lenta o que interfere no download de arquivos e na ligacao ao servidor do meio dia,conexao wi fi fraca a rede wi fi esta muito lenta o que interfere no download de arquivos e na ligacao ao servidor do meio dia,Comunicação,Baixa
5954,problemas de conexao wi fi,funcionario relata que tem problemas intermitentes de conexao wi fi no escritorio o que afeta a capacidade de trabalhar em determinados projetos,problemas de conexao wi fi funcionario relata que tem problemas intermitentes de conexao wi fi no escritorio o que afeta a capacidade de trabalhar em determinados projetos,Acesso,Media
5955,laptop quente ao operar,durante o uso meu laptop comeca a ficar extremamente quente e emitir um odor semelhante a queimado nao tenho certeza se isso e normal ou precisa de atencao,laptop quente ao operar durante o uso meu laptop comeca a ficar extremamente quente e emitir um odor semelhante a queimado nao tenho certeza se isso e normal ou precisa de atencao,Hardware,Media
5956,problemas de conexao wi fi,cliente relata que nao consegue se conectar ao seu roteador wi fi e suspeita de problemas no sinal ocorreram esses transtornos desde o ultimo reparo realizado,problemas de conexao wi fi cliente relata que nao consegue se conectar ao seu roteador wi fi e suspeita de problemas no sinal ocorreram esses transtornos desde o ultimo reparo realizado,Acesso,Media
5957,lampada desligando sozinha,a lampada na sala esta acender e apagar aleatoriamente sem nenhum choque ou anomalia notavel no sistema,lampada desligando sozinha a lampada na sala esta acender e apagar aleatoriamente sem nenhum choque ou anomalia notavel no sistema,Hardware,Baixa
5958,recuperacao de senha,usuario esta tentando recuperar sua senha usando o protocolo padrao mas nao consegue obter uma nova,recuperacao de senha usuario esta tentando recuperar sua senha usando o protocolo padrao mas nao consegue obter uma nova,Acesso,Baixa
5959,incapacidade de conectar ao servidor,um funcionario relata ter problemas para se conectar a rede corporativa via navegador da internet tentou reiniciar o modem e verificou que outros usuarios estao acessando com sucesso,incapacidade de conectar ao servidor um funcionario relata ter problemas para se conectar a rede corporativa via navegador da internet tentou reiniciar o modem e verificou que outros usuarios estao acessando com sucesso,Acesso,Baixa
5960,mouse responde lentamente,o mouse da minha maquina parece ter desacelerado recentemente as movimentacoes sao mais suaves e menos responsivas do que antes,mouse responde lentamente o mouse da minha maquina parece ter desacelerado recentemente as movimentacoes sao mais suaves e menos responsivas do que antes,Hardware,Baixa
5961,acesso restrito,funcionario relata ter recebido uma mensagem de erro quando tenta fazer login no sistema apesar da senha ser confirmada,acesso restrito funcionario relata ter recebido uma mensagem de erro quando tenta fazer login no sistema apesar da senha ser confirmada,Acesso,Media
5962,problema na impressao,a impressora nao consegue imprimir documentos aparece o erro nenhum dispositivo de impressao esta conectado ajustei as configuracoes mas sem sucesso,problema na impressao a impressora nao consegue imprimir documentos aparece o erro nenhum dispositivo de impressao esta conectado ajustei as configuracoes mas sem sucesso,Comunicação,Baixa
5963,sistema de gerenciamento da trafego,o sistema nao consegue gerenciar o trafego ao nivel do campus causando interrupcoes constantes e impactando a comunicacao em toda a rede,sistema de gerenciamento da trafego o sistema nao consegue gerenciar o trafego ao nivel do campus causando interrupcoes constantes e impactando a comunicacao em toda a rede,Infraestrutura,Alta
5964,por favor atualize o software do sistema,sistema operacional antigo requer atualizacao padrao para manter compatibilidade,por favor atualize o software do sistema sistema operacional antigo requer atualizacao padrao para manter compatibilidade,Comunicação,Baixa
5965,problemas ao conectar mouse,o mouse nao esta funcionando corretamente aperte o botao mas nada acontece,problemas ao conectar mouse o mouse nao esta funcionando corretamente aperte o botao mas nada acontece,Hardware,Media
5966,painel lcd nao exibe nada,o painel do meu monitor esta completamente branco sem imagem ou texto ajustei o brilho e a configuracao de cor mas sem sucesso,painel lcd nao exibe nada o painel do meu monitor esta completamente branco sem imagem ou texto ajustei o brilho e a configuracao de cor mas sem sucesso,Hardware,Baixa
5967,problemas de rede,uma pequena porcentagem das estacoes de trabalho da empresa esta experimentando desaceleracao na internet o que afeta a conectividade diaria dos funcionarios,problemas de rede uma pequena porcentagem das estacoes de trabalho da empresa esta experimentando desaceleracao na internet o que afeta a conectividade diaria dos funcionarios,Infraestrutura,Baixa
5968,problemas de login,o usuario nao consegue se conectar ao sistema apontando problemas na autenticacao,problemas de login o usuario nao consegue se conectar ao sistema apontando problemas na autenticacao,Acesso,Alta
5969,tela que nao responde,a tela do computador permanece branca apos reiniciar nao ha nenhum sinal de vida visivel mesmo com o monitor ligado,tela que nao responde a tela do computador permanece branca apos reiniciar nao ha nenhum sinal de vida visivel mesmo com o monitor ligado,Hardware,Baixa
5970,desligando o modem repetidamente,estou tentando conectar me a internet mas parece que meu modem precisa ser ligado e desligado varias vezes para funcionar corretamente,desligando o modem repetidamente estou tentando conectar me a internet mas parece que meu modem precisa ser ligado e desligado varias vezes para funcionar corretamente,Rede,Baixa
5971,sistema de vendas problemas no inventario,o tecnico informa que ha desaceleracao na interface do inventario o processamento dos pedidos esta atrasado e os dados estao inconsistentes,sistema de vendas problemas no inventario o tecnico informa que ha desaceleracao na interface do inventario o processamento dos pedidos esta atrasado e os dados estao inconsistentes,Acesso,Baixa
5972,problema na conexao wi fi,estive tentando se conectar a internet via movel e parece que o sinal esta fraco ajustei as configuracoes mas sem sucesso,problema na conexao wi fi estive tentando se conectar a internet via movel e parece que o sinal esta fraco ajustei as configuracoes mas sem sucesso,Comunicação,Baixa
5973,laptop sem energia,meu laptop esta conectado e funcionando corretamente mas recentemente perdeu completamente o fornecimento de energia tentei carrega lo com diferentes baterias para confirmar a bateria interna como problema,laptop sem energia meu laptop esta conectado e funcionando corretamente mas recentemente perdeu completamente o fornecimento de energia tentei carrega lo com diferentes baterias para confirmar a bateria interna como problema,Hardware,Media
5974,cadeira de escritorio deslocada,a cadeira do escritorio foi movida e agora nao esta alinhada corretamente preciso que a equipe tecnica reorganize para garantir o conforto dos funcionarios,cadeira de escritorio deslocada a cadeira do escritorio foi movida e agora nao esta alinhada corretamente preciso que a equipe tecnica reorganize para garantir o conforto dos funcionarios,Hardware,Media
5975,sistema telefonico mal funcionando,o sistema de comunicacoes internas apresenta instabilidades intermitentes gerando falhas no atendimento aos clientes,sistema telefonico mal funcionando o sistema de comunicacoes internas apresenta instabilidades intermitentes gerando falhas no atendimento aos clientes,Comunicação,Baixa
5976,problemas no login,funcionario esta enfrentando problemas ao tentar entrar na rede corporativa segundo ele o navegador nao reconhece as credenciais de acesso e recebe mensagens de erro quando tenta autenticar,problemas no login funcionario esta enfrentando problemas ao tentar entrar na rede corporativa segundo ele o navegador nao reconhece as credenciais de acesso e recebe mensagens de erro quando tenta autenticar,Acesso,Media
5977,problemas de login,um funcionario reportou ter dificuldade na ativacao do seu novo perfil no sistema apesar de seguir todas as instrucoes da documentacao,problemas de login um funcionario reportou ter dificuldade na ativacao do seu novo perfil no sistema apesar de seguir todas as instrucoes da documentacao,Acesso,Baixa
5978,ruido no computador,estou percebendo estalos e cliques persistentes ao usar o meu pc nao parece estar relacionado a nenhum software especifico,ruido no computador estou percebendo estalos e cliques persistentes ao usar o meu pc nao parece estar relacionado a nenhum software especifico,Hardware,Baixa
5979,fonte usb sem energia,o meu computador nao reconhece o notebook apos conecta lo como fonte de energia o laptop esta funcionando normalmente com outra fonte,fonte usb sem energia o meu computador nao reconhece o notebook apos conecta lo como fonte de energia o laptop esta funcionando normalmente com outra fonte,Hardware,Media
5980,problemas de conectividade movel,o cliente relata que nao consegue se conectar ao servico via celular apesar da rede funcionando corretamente,problemas de conectividade movel o cliente relata que nao consegue se conectar ao servico via celular apesar da rede funcionando corretamente,Acesso,Media
5981,som barulhento do pc,o computador faz estalos e bumbums regularmente mas ainda funciona e possivel que seja um problema de ventilacao ou algo relacionado ao ambiente,som barulhento do pc o computador faz estalos e bumbums regularmente mas ainda funciona e possivel que seja um problema de ventilacao ou algo relacionado ao ambiente,Hardware,Baixa
5982,e mail de recuperacao decepcionando,funcionario tentou recuperar senha por e mail mas o processo parece atrasado pede assistencia para verificar a situacao,e mail de recuperacao decepcionando funcionario tentou recuperar senha por e mail mas o processo parece atrasado pede assistencia para verificar a situacao,Acesso,Baixa
5983,aplicativo cliente falha no login,ocorreu uma situacao onde varias contas de usuarios estao apresentando problemas ao tentar acessar o aplicativo com erros login negado verificamos logs e confirmaram que nao ha violacoes na rede por favor investigue possiveis bugs no backend,aplicativo cliente falha no login ocorreu uma situacao onde varias contas de usuarios estao apresentando problemas ao tentar acessar o aplicativo com erros login negado verificamos logs e confirmaram que nao ha violacoes na rede por favor investigue possiveis bugs no backend,Comunicação,Alta
